TITLE;Authorized Territories ;Ready To Be Delivered;STUDIO NAME;UPC/EAN code;;"FORMAT RELEASED FIRST 
(DVD or Bluray)";;Cat#;;"GENRE/CATEGORY
 
 genre (it can be up to 5)";TITLE;PRINCIPAL ACTORS (Last, First) (Please use commas & slashes when listing names, like this:   Suarez, David/Wells, Blain);DIRECTOR (Last, First) (Please use commas & slashes when listing names, like this: Suarez, David/Wells, Blain);;Space Request [note];;Box Lot;# of Discs;SRP;;;;;Estimated PRODUCTION YEAR;STREET DATE;ISBN;;;;;PACKAGING;REGION CODE;NTSC or PAL;Mono, Stereo, or Surround;B&W, Color, or Both? ( the movies is it in color or black and white? );Full Screen or Widescreen;Aspect Ratio (16:9 or 4:3 or other? );Rating;Language;Closed-Captioned? (Closed-Captioned? yes or no ?);Subtitled? (Subtitled yes? or no?);RUN TIME;;5% Preorder Discount?;IO Approval?;;;;;;"Similar Titles 
(3 minimum)";"TRAILER 
( it has to be youtube)";Selling Points (3 minimum) / Strength;"Marketing Points (3 minimum) /
Marketing Endeveor ";SYNOPSIS;"FORMAT
4K, HD or SD";Estimated BUDGET;PRODUCER;WRITER;EDITOR;"CINEMATOGRAPHER
DIRECTOR OF PHOTOGRAPHY";MUSIC COMPOSER;PRODUCTION COMPANY;"MPAA 
( Estimamted ) 
G
PG
PG13
R
NC17"

MAGIC OF CHRISTMAS II, the ;USA AND CANADA;YES;FENIX PICTURES;609408422171;;DVD;;500,26;;FAMILY/HOLIDAY;MAGIC OF CHRISTMAS II, the ;TAMARA CHANDLER, JASON SCOTT FEILZER, TERI FLORES;MAMIE JEAN CALVERT;;Full;;30;1;19,99;;;;;2012;4/12/12;NN;;;;;Amaray;1;NTSC;STEREO;COLOR;FULL SCREEN;4:03;NA;ENGLISH;NO;NO;74 MINUTES;;YES;NN;;;;;;A CHRISTMAS STORY, MIRACLE ON 34TH STREET;http://www.privatecinema.info/#!magic-of-christmas/c46n;"-Co-written by Marc Cushman, who also wrote the award winning feature, In the Eyes of a Killer.
 -Produced and Cinematography done by Al Cacioppo, who also co-produced In the Eyes of a Killer 
 -Featuring Renee Paris, who worked on the TV movie, Click Clack Jack, which won for Best Short Film at the 2008 New York International Independent Film & Video Festival; also features Melissa Rene(Hell’s Kitchen) and Domino the Dog, who worked with Kimberly Williams-Paisley on her award-winning short, Shade.";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";With a group of children gathered around her on Christmas Eve, Ambra recites the story of her special Christmas in an orphanage, as a young child, when she meets “Santa.” As we travel back in time, accompanied by “Domino The Adopted Doggie” as our host, we find that lessons learned in the past, are still true today. Danny and Ambra are the loving parents of an adopted baby girl, Gabby. To their surprise, Ambra is now pregnant, and they are both excited to bring a baby boy into their loving family. They will soon have the best of both worlds. “The Magic Of Christmas” is a lesson to all of us that “You have to make your own luck.” For family, love and adoption to come together, “You have to make your own Luck.”;HD;1 M;Al Cacioppo, Mamie Jean Calvert;Mamie Jean Calvert, Marc Cushman, Steven McKay;Kevin Beck, Sean Boncato;Al Cacioppo;Deane Ogden;Ambra Productions;G

2012 BATTLE FOR SUPREMACY;USA AND CANADA;YES;FENIX PICTURES;609408422164;;DVD;;500,25;;SCI-FI, Action ;2012 BATTLE FOR SUPREMACY;Borgnine/Ernest ,Neil Hoff/ Brian, Razer/ Xu;Neil Hoff/ Brian;;Full;;30;1;19,99;;;;;2012;12/4/12;NN;;;;;Amaray;1;NTSC;STEREO;COLOR;WIDESCREEN;16:09;NA;ENGLISH;N;N;88 MINUTES;;YES;NN;;;;;;Pitch Black, Star Trek;http://www.privatecinema.info/#!2012-battle-supremacy/cd36;A sci-fi thriller that explores the minds of two men looking to survive on a toxic planet. The movie explores the future that could be in store for humanity should the world come to an end in 2012 (a very popular form of entertainment today). Explores the depth of characters and the truth through shades of gray rather than black and white. Stars Ernest Borgnine who won the Oscar for best picture in 1956 and the Lifetime Achievement award;"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews. Limited theatrical release.";It's 3074 A.D., A prison transport ship carrying some of the most dangerous criminals in the galaxy has crash landed on a remote planet. Only two survived the wreck -- one accused of a terrorist bombing of a spaceship and the other, a soldier ordered to ensure the accused prisoner stands trial for the crime. As they journey into the toxic planet the lines between black and white, truth and fiction, are soon blurred and crossed in a mind game of secrets and lies. In this high stakes battle of survival, each becomes determined to control the other in the name of his convictions and faith.;HD;1 M;Brian Shotwell;Brennan Reed;Neil Hoff;Brennan Reed;Brian Hoff;Elevation 4 Entertainment;PG-13

HAIGHT ASHBURY: THE BEAT OF GENERATION;USA AND CANADA;YES;YTINIFNI PICTURES;609408422195;;DVD;;500,28;;Documentary/ Drama;Haight Ashbury: The Beat of a Generation;"Coyote Peter 
 Kornfeld Artie
 Aters Don
 Mcdonald Joe
 Constanten Tom";Feltz Del;;Full;;30;1;29,99;;;;;2012;1/8/13;NN;;;;;Amaray;1;NTSC;Stereo;color;Widescreen;16x9;NA;English;no;no;58 min;;Yes;NN;;;;;;Bob Marley Documentary, The Sixites - The Decade That Defined a Generation, Gimme Shelter;http://www.privatecinema.info/#!haight-ashbury/cd9q;"A wonderful slice of american history that changed the country
 nothing since has been more colorful
 this one year ignited the youth and spread to the population
 Haight Ashbury are two streets and intersect in a charming and wonderful neighorhood
 
 we take you back to that life altering free for all and everything that happened in the love in age.

Interviews from people on the inside - guys from the Doors, Jimmi Hendrix's Group, Zappa, the Beatles, names everyone recognizes

4 film festival awards, and appeared in Cannes

Interviews from people on the inside - guys from the Doors, Jimmi Hendrix's Group, Zappa, the Beatles, names everyone recognizes";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";"In a brief four year span in the late 1960's, in a quaint San Francisco neighborhood less than a mile square, a creative movement emerged that would ignite a musical genre. What would come to be coined ""the San Francisco Sound"" served as the soundtrack for a counter- culture revolution that would forever challenge the perception of the American ideal. This movement climaxed in a single California season known as the Summer of Love, in a neighborhood that provided a canvas for this artistic burst of imagination: Haight-Ashbury.";HD;2 M;Weld Conley, Don Aters;Steve Martini;Scott Baker;David Hendryx;Ken Jerger;Concept One Media;G

THREE DAYS OF HAMLET;USA AND CANADA;YES;FENIX PICTURES;609408422188;;DVD;;500,27;;Documentary / Drama;THREE DAYS OF HAMLET;"Powers Stehanie
 Hyde-White Alex
 Chambalain Richard";Hyde-White Alex;;Full;;30;1;19,99;;;;;2012;1/22/13;NN;;;;;Amaray;1;NTSC;stereo;Color;Widescreen;16:09;NA;English;NO;NO;83 min;;YES;NN;;;;;;King Richard the 3th, Othello, Romeo and Juliette;http://www.privatecinema.info/#!three-days-of-hamlet/cegj;"Great wellknown cast
 Very interesting adaption of classic Shakespearean tale
 Good production value and location
Richard Chaimberlain - huge shakespearian actor
-Having a Theatrical in US -lots and lots of postive feedback";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";"A hero’s journey from the most unlikely of sources, a Shakespeare in Love for the reality set...What makes this first-person doc so unique is the hero’s personal narrative; an actor/manager, dealing with the “ghost” of his father, both real and imagined. Taking place over three days, they rehearse and perform a stage reading of Shakespeare’s classic -- in this day of mixed media and cultural attention deficit, a monumental task that is rendered gracefully. As the lives of the players juxtapose over their characters, what results is a fascinating look at how, once again, art illuminates life. By holding the mirror up to ourselves, we illuminate the world around us.";HD;175 K;Chris Stevens Flores, Mara New, Louis Yansen;Alex Hyde-White;Sharon Rutter, Eduardo Brizio;J. Kent Inasy;Jonathan Beard;TMG;G

SKYLER;USA AND CANADA;YES;YTINIFNI PICTURES;0 609408 422218;;DVD;;500,3;;Crime/Drama/Romance/Relationship;Skyler;West,Dean J. / Engelmann,Kristi / Moras,Tony / Pazmino,Annemarie / Gallagher, Drew;Verdi-Rose,Clenet;;Full;;30;1;29,99;;;;;2012;2/12/13;NN;;;;;Amaray;1;NTSC;Stereo;color;Widescreen;16x9;NA;English;no;no;1:22:12;;YES;NN;;;;;;"Juno ; Garden State ; Crimes of Passion";http://www.privatecinema.info/#!skyler/cn88;"-A serious look at the effects of sexual addiction ; A one of a kind movie that focuses on the importance of getting the one you love rather than trivializing the issues of sex addiction ; A believable film filled with thrilling twists and turns
4 film festival awards.";"-Create media kit for movie -have cast/crew do radio interviews -Send out early release copies to major publications like LA Times, LA Weekly, etc to get reviews of movies published -Will book cast/crew for shows like ""Good Day LA"" for live interviews";"Ross Westmore battles his sexual addictions to save his relationship with the love of his life, Stephanie, and to rescue his life from the destructive path he has chosen. Ross struggles to overcome his demons in a world of temptation, placing him in some compromising situations and forcing him to lead a secret, double life as his alter-ego ""Skyler."" He attempts to change his ways through counseling, attending Stephanie's bible-study group and supporting her decision to stay a virgin. His efforts waiver and his addiction threatens to ruin his life and expose ""Skyler."" Ross swears he is going to turn his life around once and for all. He learns life does not always allow for another chance.";HD;3 M;Messiah Jacobs;Tony Moras;Landon Williams;Eric Castro;Jeff Icass, Karem Elmahoudi;Green Rose Pictures;PG13
